reweight,lds,fds,lds_ks,lds_sigma,fds_ks,fds_sigma,start_update,start_smooth,label_min,label_max,bucket_num,many_shot_thr,low_shot_thr,name,overall_l1,overall_gmean,median_l1,low_l1,low_gmean,log
none,False,False,5,2,5,2,0,1,-15,40,56,20,5,vanilla,5.184,,4.184,8.658,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_vanilla_adam_l1_0.001_64/training.log
sqrt_inv,False,False,5,2,5,2,0,1,-15,40,56,20,5,sqrt_inv,10.666,,9.284,16.484,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_sqrt_inv_sqrt_inv_adam_l1_0.001_64/training.log
sqrt_inv,True,False,5,1,5,2,0,1,-15,40,56,20,5,lds_s1,5.133,,4.36,7.547,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_lds_s1_lds_gau_5_1.0_adam_l1_0.001_64/training.log
sqrt_inv,True,False,5,2,5,2,0,1,-15,40,56,20,5,lds_s2,4.917,,3.995,8.272,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_lds_s2_lds_gau_5_2.0_adam_l1_0.001_64/training.log
sqrt_inv,True,False,5,3,5,2,0,1,-15,40,56,20,5,lds_s3,6.836,,6.127,9.134,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_lds_s3_lds_gau_5_3.0_adam_l1_0.001_64/training.log
none,False,True,5,2,5,2,1,1,-15,40,56,20,5,fds_smooth1,6.411,,5.187,10.86,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_fds_smooth1_fds_gau_5_2.0_1_1_0.9_adam_l1_0.001_64/training.log
none,False,True,5,2,5,2,5,5,-15,40,56,20,5,fds_smooth5,5.418,,4.306,9.379,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_fds_smooth5_fds_gau_5_2.0_5_5_0.9_adam_l1_0.001_64/training.log
none,False,True,5,2,5,2,5,10,-15,40,56,20,5,fds_smooth10,4.452,,4.663,2.643,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_fds_smooth10_fds_gau_5_2.0_5_10_0.9_adam_l1_0.001_64/training.log
sqrt_inv,True,True,5,1,5,1,5,5,-15,40,56,20,5,lds_fds_s1_sm5,7.311,,6.025,12.136,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_lds_fds_s1_sm5_lds_gau_5_1.0_fds_gau_5_1.0_5_5_0.9_adam_l1_0.001_64/training.log
sqrt_inv,True,True,5,2,5,2,5,5,-15,40,56,20,5,lds_fds_s2_sm5,9.805,,8.583,14.673,,/home/dineth/imbalanced-regression/skyfinder-dir/checkpoint/skyfinder_resnet50_tune_lds_fds_s2_sm5_lds_gau_5_2.0_fds_gau_5_2.0_5_5_0.9_adam_l1_0.001_64/training.log
